LocusTag	GeneID	Symbol	Description
YCL001W	850354	RER1	Protein involved in retention of membrane proteins, including Sec12p, in the ER; localized to Golgi; functions as a retrieval receptor in returning membrane proteins to the ER
YCL001W-A	850355	YCL001W-A	Putative protein of unknown function; YCL001W-A is not an essential gene
YCL001W-B	850356	YCL001W-B	Putative protein of unknown function; identified by homology
YCR002C	850358	CDC10	Cdc10p
YCR003W	850359	MRPL32	Mitochondrial ribosomal protein of the large subunit
YCR004C	850360	YCP4	Protein of unknown function, has sequence and structural similarity to flavodoxins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YCR005C	850361	CIT2	Cit2p
TP(AGG)C	850363	SUF2	tRNA
YCR007C	850364	YCR007C	Putative integral membrane protein, member of DUP240 gene family; YCR007C is not an essential gene
TN(GUU)C	850365	TN(GUU)C	tRNA
YCR008W	850366	SAT4	Sat4p
YCR009C	850367	RVS161	Amphiphysin-like lipid raft protein; subunit of a complex (Rvs161p-Rvs167p) that regulates polarization of the actin cytoskeleton, endocytosis, cell polarity, cell fusion and viability following starvation or osmotic stress
YCR010C	850368	ADY2	Acetate transporter required for normal sporulation; phosphorylated in mitochondria
YCR011C	850369	ADP1	Adp1p
YCR012W	850370	PGK1	3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis
YCR014C	850372	POL4	DNA polymerase IV, undergoes pair-wise interactions with Dnl4p-Lif1p and Rad27p to mediate repair of DNA double-strand breaks by non-homologous end joining (NHEJ); homologous to mammalian DNA polymerase beta
YCR015C	850373	YCR015C	Putative protein of unknown function; YCR015C is not an essential gene
TG(GCC)C	850374	SUF16	tRNA
YCR016W	850375	YCR016W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; YCR016W is not an essential gene
YCR017C	850376	CWH43	Cwh43p
YCR018C	850377	SRD1	Protein involved in the processing of pre-rRNA to mature rRNA; contains a C2/C2 zinc finger motif; srd1 mutation suppresses defects caused by the rrp1-1 mutation
TM(CAU)C	850378	TM(CAU)C	tRNA
TK(CUU)C	850379	TK(CUU)C	tRNA
YCR019W	850381	MAK32	Mak32p
YCR020C	850382	PET18	Pet18p
YCR020C-A	850383	MAK31	Mak31p
YCR020W-B	850384	HTL1	Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation, chromosome stability, and establishing sister chromatid cohesion; involved in telomere maintenance
YCR021C	850385	HSP30	Hsp30p
YCR023C	850387	YCR023C	Putative protein of unknown function; YCR023C is not an essential gene
YCR024C	850388	SLM5	Mitochondrial asparaginyl-tRNA synthetase
YCR024C-A	850389	PMP1	Pmp1p
YCR026C	850391	NPP1	Npp1p
YCR027C	850392	RHB1	Putative Rheb-related GTPase involved in regulating canavanine resistance and arginine uptake; member of the Ras superfamily of G-proteins
TQ(UUG)C	850393	TQ(UUG)C	tRNA
YCR028C	850394	FEN2	Fen2p
YCR028C-A	850395	RIM1	Rim1p
YCR030C	850396	SYP1	Protein with a potential role in actin cytoskeletal organization; overexpression suppresses a pfy1 (profilin) null mutation
YCR031C	850397	RPS14A	Ribosomal protein 59 of the small subunit, required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; nearly identical to Rps14Bp and similar to E. coli S11 and rat S14 ribosomal proteins
YCR032W	850398	BPH1	Bph1p
YCR033W	850399	SNT1	Snt1p
YCR034W	850400	FEN1	Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway
YCR035C	850401	RRP43	Protein involved in rRNA processing; component of the exosome 3->5 exonuclease complex with Rrp41p, Rrp42p, Rrp4p and Dis3p; required for efficient maturation of 5.8S, 18S and 25S rRNA
YCR036W	850402	RBK1	Putative ribokinase
YCR037C	850403	PHO87	Low-affinity inorganic phosphate (Pi) transporter, involved in activation of PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments
YCR038C	850405	BUD5	Bud5p
YCR039C	850406	MATALPHA2	Homeobox-domain protein that, with Mcm1p, represses a-specific genes in haploids; acts with A1p to repress transcription of haploid-specific genes in diploids; one of two genes encoded by the MATalpha mating type cassette
YCR040W	850407	MATALPHA1	Matalpha1p
YCR042C	850409	TAF2	TFIID subunit (150 kDa), involved in RNA polymerase II transcription initiation
YCR043C	850410	YCR043C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the Golgi apparatus; YCR043C is not an essential gene
YCR044C	850411	PER1	Per1p
YCR045C	850412	YCR045C	Putative protein of unknown function
YCR046C	850413	IMG1	Img1p
YCR047C	850414	BUD23	Bud23p
YCR048W	850415	ARE1	Acyl-CoA:sterol acyltransferase, isozyme of Are2p; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the absence of oxygen
YCR050C	850417	YCR050C	Non-essential protein of unknown function; deletion mutant is synthetically sick or lethal with alpha-synuclein
YCR051W	850418	YCR051W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; contains ankyrin (Ank) repeats; YCR051W is not an essential gene
YCR052W	850419	RSC6	Component of the RSC chromatin remodeling complex; essential for mitotic growth; homolog of SWI/SNF subunit Swp73p
YCR053W	850420	THR4	Thr4p
YCR054C	850421	CTR86	Ctr86p
YCR057C	850422	PWP2	Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis
YCR059C	850423	YIH1	Protein that inhibits activation of Gcn2p, an eIF2 alpha subunit protein kinase, by competing for Gcn1p binding, thus impacting gene expression in response to starvation; has sequence and functional similarity to the mouse IMPACT gene
YCR060W	850424	TAH1	HSP90 cofactor; interacts with Hsp82p, Pih1p, Rvb1 and Rvb2, contains a single TPR domain with at least two TPR motifs
YCR061W	850425	YCR061W	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
TS(CGA)C	850426	SUP61	tRNA
YCR063W	850427	BUD31	Bud31p
YCR065W	850429	HCM1	Forkhead transcription factor that drives S-phase specific expression of genes involved in chromosome segregation, spindle dynamics, and budding; suppressor of calmodulin mutants with specific SPB assembly defects; telomere maintenance role
YCR066W	850430	RAD18	Protein involved in postreplication repair; binds single-stranded DNA and has single-stranded DNA dependent ATPase activity; forms heterodimer with Rad6p; contains RING-finger motif
YCR067C	850431	SED4	Integral endoplasmic reticulum membrane protein, functions as a positive regulator of Sar1p probably through inhibition of GTPase activation by Sec23p; binds Sec16p, participates in vesicle formation, similar to Sec12p
YCR068W	850432	ATG15	Atg15p
YCR069W	850433	CPR4	Cpr4p
YCR071C	850434	IMG2	Img2p
YCR072C	850435	RSA4	Rsa4p
YCR073C	850436	SSK22	MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway; functionally redundant with, and homologous to, Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p
YCR073W-A	850437	SOL2	Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol1p, Sol3p, and Sol4p
YCR075C	850438	ERS1	Ers1p
YCR076C	850439	YCR076C	Putative protein of unknown function; YCR076C is not an essential gene
YCR077C	850440	PAT1	Pat1p
YCR079W	850441	PTC6	Phosphoprotein phosphatase type 2C similar to mammalian PP1Ks; involved in mitophagy; localized to mitochondrial inner membrane space; null mutant is sensitive to rapamycin
YCR081W	850442	SRB8	Srb8p
YCR082W	850443	AHC2	Ahc2p
YCR083W	850444	TRX3	Mitochondrial thioredoxin, highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p
YCR084C	850445	TUP1	General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes
YCR086W	850447	CSM1	Csm1p
YCR087C-A	850449	LUG1	Lug1p
YCR088W	850450	ABP1	Abp1p
YCR089W	850451	FIG2	Cell wall adhesin, expressed specifically during mating; may be involved in maintenance of cell wall integrity during mating
YCR090C	850452	YCR090C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YCR090C is not an essential gene
YCR091W	850453	KIN82	Kin82p
YCR092C	850454	MSH3	Mismatch repair protein, forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability
YCR093W	850455	CDC39	Cdc39p
YCR094W	850456	CDC50	Cdc50p
YCR095C	850457	OCA4	Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts
YCR096C	850458	HMRA2	Hmra2p
YCR097W	850459	HMRA1	Hmra1p
TT(AGU)C	850461	TT(AGU)C	tRNA
YCR098C	850462	GIT1	Git1p
YCR099C	850463	YCR099C	Putative protein of unknown function
YCR100C	850464	YCR100C	Putative protein of unknown function
YCR101C	850465	YCR101C	Putative protein of unknown function; localizes to the membrane fraction; YCR101C is not an essential gene
YCR102C	850466	YCR102C	Putative protein of unknown function; involved in copper metabolism; similar to C.carbonum toxD gene; YCR102C is not an essential gene
YCR104W	850468	PAU3	Part of 23-member seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme
YCR105W	850469	ADH7	Adh7p
YCR106W	850470	RDS1	Rds1p
YCR107W	850471	AAD3	Aad3p
YFL068W	850476	YFL068W	Putative protein of unknown function
YFL067W	850477	YFL067W	Protein of unknown function, down-regulated at low calcium levels
YFL066C	850478	YFL066C	Helicase-like protein encoded within the telomeric Y' element
YFL065C	850479	YFL065C	Putative protein of unknown function
YFL064C	850480	YFL064C	Putative protein of unknown function
YFL062W	850482	COS4	Cos4p
YFL061W	850483	DDI2	Ddi2p
YFL060C	850484	SNO3	Protein of unknown function, nearly identical to Sno2p; expression is induced before the diauxic shift and also in the absence of thiamin
YFL059W	850485	SNZ3	Member of a stationary phase-induced gene family; transcription of SNZ2 is induced prior to diauxic shift, and also in the absence of thiamin in a Thi2p-dependent manner; forms a coregulated gene pair with SNO3
YFL058W	850486	THI5	Protein involved in synthesis of the thiamine precursor hydroxymethylpyrimidine (HMP); member of a subtelomeric gene family including THI5, THI11, THI12, and THI13
YFL057C	850487	AAD16	Aad16p
YFL056C	850488	AAD6	Aad6p
YFL055W	850489	AGP3	Agp3p
YFL054C	850490	YFL054C	Putative channel-like protein; similar to Fps1p; mediates passive diffusion of glycerol in the presence of ethanol
YFL053W	850491	DAK2	Dak2p
YFL052W	850492	YFL052W	Putative zinc cluster protein that contains a DNA binding domain; null mutant sensitive to calcofluor white, low osmolarity and heat, suggesting a role for YFL052Wp in cell wall integrity
YFL051C	850493	YFL051C	Putative protein of unknown function; YFL051C is not an essential gene
YFL050C	850494	ALR2	Alr2p
YFL049W	850495	SWP82	Member of the SWI/SNF chromatin remodeling complex in which it plays an as yet unidentified role; has identifiable counterparts in closely related yeast species; abundantly expressed in many growth conditions; paralog of Npl6p
YFL048C	850496	EMP47	Emp47p
YFL047W	850497	RGD2	GTPase-activating protein (RhoGAP) for Cdc42p and Rho5p
YFL046W	850498	FMP32	Fmp32p
YFL045C	850499	SEC53	Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen
YFL044C	850500	OTU1	Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p; may contribute to regulation of protein degradation by deubiquitylating substrates that have been ubiquitylated by Ufd2p; member of the Ovarian Tumor (OTU) family
YFL042C	850501	YFL042C	Putative protein of unknown function; YFL042C is not an essential gene
YFL041W	850502	FET5	Fet5p
YFL040W	850503	YFL040W	Putative transporter, member of the sugar porter family; YFL040W is not an essential gene
YFL039C	850504	ACT1	Act1p
YFL038C	850505	YPT1	Ras-like small GTPase, involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p)
YFL037W	850506	TUB2	Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules
YFL036W	850507	RPO41	Mitochondrial RNA polymerase; single subunit enzyme similar to those of T3 and T7 bacteriophages; requires a specificity subunit encoded by MTF1 for promoter recognition
YFL034C-B	850508	MOB2	Component of the RAM signaling network, localizes and activates the Ace2p in the daughter cell nucleus to direct daughter cell-specific transcription of several genes involved in cell separation; Mob1p-like protein
YFL034C-A	850509	RPL22B	Protein component of the large (60S) ribosomal subunit, has similarity to Rpl22Ap and to rat L22 ribosomal protein
YFL034W	850510	YFL034W	Putative integral membrane protein that interacts with Rpp0p, which is a component of the ribosomal stalk
YFL033C	850511	RIM15	Glucose-repressible protein kinase involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase; identified as a regulator of IME2; substrate of Pho80p-Pho85p kinase
YFL031W	850513	HAC1	Hac1p
YFL030W	850514	AGX1	Agx1p
YFL029C	850515	CAK1	Cak1p
YFL028C	850516	CAF16	Caf16p
YFL027C	850517	GYP8	GTPase-activating protein for yeast Rab family members; Ypt1p is the preferred in vitro substrate but also acts on Sec4p, Ypt31p and Ypt32p; involved in the regulation of ER to Golgi vesicle transport
YFL026W	850518	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YFL025C	850519	BST1	Bst1p
YFL024C	850520	EPL1	Component of NuA4, which is an essential histone H4/H2A acetyltransferase complex; homologous to Drosophila Enhancer of Polycomb
YFL023W	850521	BUD27	Bud27p
YFL022C	850522	FRS2	Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs1p to form active enzyme; evolutionarily distant from mitochondrial phenylalanyl-tRNA synthetase based on protein sequence, but substrate binding is similar
YFL021W	850523	GAT1	Gat1p
YFL020C	850524	PAU5	Part of 23-member seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme
TP(UGG)F	850526	SUF9	tRNA
YFL018C	850527	LPD1	Dihydrolipoamide dehydrogenase, the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes
YFL017W-A	850528	SMX2	Core Sm protein Sm G; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Sme1p, and Smx3p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm G
YFL017C	850529	GNA1	Evolutionarily conserved glucosamine-6-phosphate acetyltransferase required for multiple cell cycle events including passage through START, DNA synthesis, and mitosis; involved in UDP-N-acetylglucosamine synthesis, forms GlcNAc6P from AcCoA
YFL016C	850530	MDJ1	Mdj1p
YFL014W	850532	HSP12	Hsp12p
YFL013C	850534	IES1	Ies1p
YFL012W	850535	YFL012W	Putative protein of unknown function; transcribed during sporulation; null mutant exhibits increased resistance to rapamycin
YFL011W	850536	HXT10	Hxt10p
YFL010W-A	850537	AUA1	Aua1p
YFL010C	850538	WWM1	WW domain containing protein of unknown function; binds to Mca1p, a caspase-related protease that regulates H2O2-induced apoptosis; overexpression causes Gi phase growth arrest and clonal death that is suppressed by overexpression of MCA1
YFL009W	850539	CDC4	Cdc4p
YFL008W	850540	SMC1	Smc1p
YFL007W	850541	BLM10	Blm10p
YFL005W	850543	SEC4	Sec4p
YFL004W	850544	VTC2	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in protein localization and non-autophagic vacuolar fusion
YFL003C	850545	MSH4	Msh4p
TN(GUU)F	850546	TN(GUU)F	tRNA
YFL002W-B	850547	YFL002W-B	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag
YFL002W-A	850548	YFL002W-A	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
YFL002C	850549	SPB4	Putative ATP-dependent RNA helicase, nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway; sediments with 66S pre-ribosomes in sucrose gradients
YFL001W	850550	DEG1	Deg1p
YFR001W	850551	LOC1	Loc1p
YFR002W	850552	NIC96	Component of the nuclear pore complex, required for nuclear pore formation; forms a subcomplex with Nsp1p, Nup57p, and Nup49p
YFR003C	850553	YPI1	Inhibitor of the type I protein phosphatase Glc7p, which is involved in regulation of a variety of metabolic processes; overproduction causes decreased cellular content of glycogen
YFR004W	850554	RPN11	Metalloprotease subunit of the 19S regulatory particle of the 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates
YFR005C	850555	SAD1	Conserved zinc-finger domain protein involved in pre-mRNA splicing, required for assembly of U4 snRNA into the U4/U6 particle
YFR006W	850556	YFR006W	Putative X-Pro aminopeptidase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YFR006W is not an essential gene
TF(GAA)F	850557	TF(GAA)F	tRNA
YFR007W	850558	YFH7	Putative kinase with similarity to the phosphoribulokinase/uridine kinase/bacterial pantothenate kinase (PRK/URK/PANK) subfamily of P-loop kinases; null mutant displays decreased frequency of mitochondrial genome loss (petite formation)
YFR008W	850559	FAR7	Far7p
TG(GCC)F1	850560	SUF20	tRNA
YFR009W	850561	GCN20	Gcn20p
YFR010W	850562	UBP6	Ubiquitin-specific protease situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains; deletion causes hypersensitivity to cycloheximide and other toxic compounds
YFR011C	850563	AIM13	Aim13p
TY(GUA)F1	850564	SUP11	tRNA
YFR012W	850565	YFR012W	Putative protein of unknown function
YFR012W-A	850566	YFR012W-A	Putative protein of unknown function; identified by homology
YFR013W	850567	IOC3	Ioc3p
YFR014C	850568	CMK1	Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk2p and mammalian Cam Kinase II
YFR015C	850569	GSY1	Glycogen synthase with similarity to Gsy2p, the more highly expressed yeast homolog; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase
YFR016C	850570	YFR016C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud; interacts with Spa2p; YFL016C is not an essential gene
TG(GCC)F2	850571	TG(GCC)F2	tRNA
YFR017C	850572	YFR017C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YFR017C is not an essential gene
YFR018C	850573	YFR018C	Putative protein of unknown function
YFR019W	850574	FAB1	1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis
TS(GCU)F	850575	TS(GCU)F	tRNA
YFR021W	850577	ATG18	Atg18p
YFR022W	850578	ROG3	Protein that binds to Rsp5p, which is a hect-type ubiquitin ligase, via its 2 PY motifs; has similarity to Rod1p; mutation suppresses the temperature sensitivity of an mck1 rim11 double mutant
YFR023W	850579	PES4	Pes4p
YFR024C-A	850580	LSB3	Lsb3p
YFR025C	850581	HIS2	His2p
TA(AGC)F	850582	TA(AGC)F	tRNA
YFR026C	850583	YFR026C	Putative protein of unknown function
YFR027W	850584	ECO1	Acetyltransferase required for the establishment of sister chromatid cohesion during DNA replication and in response to double-strand breaks; also required for postreplicative double-strand break repair
YFR028C	850585	CDC14	Cdc14p
TY(GUA)F2	850586	SUP6	tRNA
YFR029W	850587	PTR3	Component of the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p), which senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes
YFR030W	850588	MET10	Met10p
YFR031C	850589	SMC2	Component of the condensin complex, essential SMC chromosomal ATPase family member that forms a complex with Smc4p to form the active ATPase; Smc2p/Smc4p complex binds DNA, possibly in the cleft formed by the coiled-coil of the folded dimer
YFR031C-A	850590	RPL2A	Protein component of the large (60S) ribosomal subunit, identical to Rpl2Bp and has similarity to E. coli L2 and rat L8 ribosomal proteins
YFR032C	850591	YFR032C	Putative protein of unknown function; transcribed during sporulation; YFR032C is not an essential gene
YFR032C-A	850592	RPL29	Protein component of the large (60S) ribosomal subunit, has similarity to rat L29 ribosomal protein; not essential for translation, but required for proper joining of the large and small ribosomal subunits and for normal translation rate
YFR033C	850593	QCR6	Qcr6p
YFR034C	850594	PHO4	Basic helix-loop-helix (bHLH) transcription factor of the myc-family; binds cooperatively with Pho2p to the PHO5 promoter; function is regulated by phosphorylation at multiple sites and by phosphate availability
YFR035C	850595	YFR035C	Putative protein of unknown function, deletion mutant exhibits synthetic phenotype with alpha-synuclein
TK(CUU)F	850596	TK(CUU)F	tRNA
YFR036W	850597	CDC26	Cdc26p
YFR037C	850598	RSC8	Component of the RSC chromatin remodeling complex; essential for viability and mitotic growth; homolog of SWI/SNF subunit Swi3p, but unlike Swi3p, does not activate transcription of reporters
YFR038W	850599	IRC5	Irc5p
YFR039C	850600	YFR039C	Putative protein of unknown function; YFR039C is not an essential gene
YFR040W	850601	SAP155	Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p
YFR041C	850602	ERJ5	Erj5p
YFR042W	850603	KEG1	Keg1p
YFR043C	850604	IRC6	Irc6p
YFR044C	850605	DUG1	Dug1p
YFR045W	850606	YFR045W	Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white
YFR046C	850607	CNN1	Cnn1p
YFR047C	850608	BNA6	Bna6p
YFR048W	850609	RMD8	Cytosolic protein required for sporulation
YFR049W	850610	YMR31	Mitochondrial ribosomal protein of the small subunit, has similarity to human mitochondrial ribosomal protein MRP-S36
YFR050C	850611	PRE4	20S proteasome beta-type subunit
YFR051C	850612	RET2	Delta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER
YFR052W	850613	RPN12	Rpn12p
